ID Year,Year,ID State,State,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE
2022,"2022","#null","#null","true","true","352010","Cooks",23336.638854679804,7050.259745863838
2022,"2022","04000US01","Alabama","true","true","352010","Cooks",17382.86391089932,2083.317507042888
2022,"2022","04000US02","Alaska","true","true","352010","Cooks",25929.07764363031,6185.24144926011
2022,"2022","04000US04","Arizona","true","true","352010","Cooks",22401.204922488203,1927.9851908901348
2022,"2022","04000US05","Arkansas","true","true","352010","Cooks",18038.006934573805,1942.3352441015807
2022,"2022","04000US06","California","true","true","352010","Cooks",26873.12123425663,1299.4108314428101
2022,"2022","04000US08","Colorado","true","true","352010","Cooks",24044.398658677368,2456.4293094332484
2022,"2022","04000US09","Connecticut","true","true","352010","Cooks",28816.388158646703,5634.63229414268
2022,"2022","04000US10","Delaware","true","true","352010","Cooks",21798.504275059124,5076.97077089342
2022,"2022","04000US11","District of Columbia","true","true","352010","Cooks",30141.13857228554,8604.827908167239
2022,"2022","04000US12","Florida","true","true","352010","Cooks",22996.927429620202,1290.5977064810259
2022,"2022","04000US13","Georgia","true","true","352010","Cooks",20341.97630522666,1719.8123390377136
2022,"2022","04000US15","Hawaii","true","true","352010","Cooks",32649.786511663715,4801.911264827687
2022,"2022","04000US16","Idaho","true","true","352010","Cooks",18025.77362058486,3815.822267466331
2022,"2022","04000US17","Illinois","true","true","352010","Cooks",21133.0020292065,1797.0030487779472
2022,"2022","04000US18","Indiana","true","true","352010","Cooks",17517.728442206768,1525.3712342116753
2022,"2022","04000US19","Iowa","true","true","352010","Cooks",19368.524095604444,4122.476891868754
2022,"2022","04000US20","Kansas","true","true","352010","Cooks",19440.14300291545,4859.761243597326
2022,"2022","04000US21","Kentucky","true","true","352010","Cooks",17724.981219913858,3594.361730852377
2022,"2022","04000US22","Louisiana","true","true","352010","Cooks",19680.61148201439,2610.714654190207
2022,"2022","04000US23","Maine","true","true","352010","Cooks",23051.693778920308,4454.489683349104
2022,"2022","04000US24","Maryland","true","true","352010","Cooks",23925.879021957302,2774.36084881131
2022,"2022","04000US25","Massachusetts","true","true","352010","Cooks",28838.57123801584,3639.1920174945385
2022,"2022","04000US26","Michigan","true","true","352010","Cooks",18997.041337675506,1787.9852707203465
2022,"2022","04000US27","Minnesota","true","true","352010","Cooks",21445.30680386392,3493.814216767386
2022,"2022","04000US28","Mississippi","true","true","352010","Cooks",17325.513436296635,2212.7616172222433
2022,"2022","04000US29","Missouri","true","true","352010","Cooks",19347.49683978497,1932.7676461329152
2022,"2022","04000US30","Montana","true","true","352010","Cooks",21049.88433228181,4061.781204906875
2022,"2022","04000US31","Nebraska","true","true","352010","Cooks",20587.018815524545,4404.009061745762
2022,"2022","04000US32","Nevada","true","true","352010","Cooks",28577.608582038232,3642.1691175601904
2022,"2022","04000US33","New Hampshire","true","true","352010","Cooks",26701.09491408142,6183.477338146376
2022,"2022","04000US34","New Jersey","true","true","352010","Cooks",26925.58610871002,2483.000626181387
2022,"2022","04000US35","New Mexico","true","true","352010","Cooks",18295.568835536997,2334.2563845759796
2022,"2022","04000US36","New York","true","true","352010","Cooks",27863.394928521775,2065.589994828678
2022,"2022","04000US37","North Carolina","true","true","352010","Cooks",19407.10355310933,1606.2157835028797
2022,"2022","04000US38","North Dakota","true","true","352010","Cooks",22092.70662148807,4522.178591385468
2022,"2022","04000US39","Ohio","true","true","352010","Cooks",18692.745358090186,1986.0677193409604
2022,"2022","04000US40","Oklahoma","true","true","352010","Cooks",18078.918245674147,2156.6607860685945
2022,"2022","04000US41","Oregon","true","true","352010","Cooks",23445.706505340655,2445.1145393646584
2022,"2022","04000US42","Pennsylvania","true","true","352010","Cooks",20909.863094996686,2376.1935547448056
2022,"2022","04000US44","Rhode Island","true","true","352010","Cooks",27399.18452012384,5699.384692046207
2022,"2022","04000US45","South Carolina","true","true","352010","Cooks",20389.626727726893,3576.436990544166
2022,"2022","04000US46","South Dakota","true","true","352010","Cooks",18546.349353796446,3622.357625480712
2022,"2022","04000US47","Tennessee","true","true","352010","Cooks",19356.01310696512,1849.9806127545612
